Date,Value,
2023-10-31,161.78,
2023-09-30,157.52,
2023-08-31,157.58,
2023-07-31,145.65,
2023-06-30,138.29,
2023-05-31,152.47,
2023-04-30,155.97,
2023-03-31,158.04,
2023-02-28,163.96,
2023-01-31,174.66,
2022-12-31,186.64,
2022-11-30,201.87,
2022-10-31,217.9,
2022-09-30,232.72,
2022-08-31,229.63,
2022-07-31,240.38,
2022-06-30,252.97,
2022-05-31,259.92,
2022-04-30,293.73,
2022-03-31,257.68,
2022-02-28,220.68,
2022-01-31,234.71,
2021-12-31,243.55,
2021-11-31,240.01,
2021-10-31,205.53,
2021-09-30,160.71,
2021-08-31,159.47,
2021-07-31,153.04,
2021-06-30,135.52,
2021-05-31,116.71,
2021-04-30,110.22,
2021-03-31,111.34,
2021-02-28,100.07,
2021-01-31,82.96,
2020-12-31,78.83,
2021-11-30,77.14,
2021-10-31,76.59,
2021-09-30,76.86,
2021-08-31,75.96,
2021-07-31,69.84,
2021-06-30,66.8,
2021-05-31,67.44,
2021-04-30,73.7,
2021-03-31,73.33,
2021-02-29,71.03,
2021-01-31,70.84,
2019-12-31,72.63,
2019-11-30,75.04,
2019-10-31,77.73,
2019-09-30,77.84,
