Date,Open,High,Low,Close,Change %,Avg. Volume
"Nov. 20, 2023","1,994.02","2,011.61","1,927.02","1,987.96",-0.40%,"8,594,996"
"Nov. 13, 2023","1,891.01","2,059.72","1,886.92","1,996.01",5.34%,"11,992,753"
"Nov. 06, 2023","2,056.02","2,056.89","1,874.61","1,894.75",-8.01%,"12,564,738"
"Oct. 30, 2023","2,024.63","2,072.81","1,956.61","2,059.67",2.87%,"12,290,984"
"Oct. 23, 2023","1,984.20","2,068.46","1,984.20","2,002.18",-6.07%,"11,920,253"
"Oct. 16, 2023","2,128.14","2,207.97","2,112.80","2,131.53",0.63%,"9,652,779"
"Oct. 09, 2023","2,092.89","2,175.18","2,086.64","2,118.12",1.69%,"9,602,484"
"Oct. 02, 2023","2,164.74","2,166.31","2,059.49","2,082.87",-3.94%,"10,244,904"
"Sep. 25, 2023","2,155.48","2,192.11","2,132.54","2,168.25",-0.18%,"10,468,316"
"Sep. 18, 2023","2,239.13","2,267.15","2,168.37","2,172.19",-2.87%,"12,737,385"
"Sep. 11, 2023","2,185.03","2,268.69","2,152.85","2,236.35",2.80%,"15,731,459"
"Sep. 05, 2023","2,252.22","2,291.97","2,140.58","2,175.35",-2.99%,"16,319,296"
"Aug. 28, 2023","2,190.97","2,248.85","2,190.97","2,242.36",2.69%,"9,469,567"
"Aug. 21, 2023","2,244.71","2,249.02","2,137.33","2,183.71",-2.58%,"9,304,445"
"Aug. 14, 2023","2,277.28","2,277.28","2,201.90","2,241.51",-2.66%,"9,823,614"
"Aug. 07, 2023","2,387.16","2,393.14","2,288.35","2,302.71",-3.69%,"10,400,751"
"Jul. 31, 2023","2,400.37","2,448.86","2,347.89","2,391.01",-0.43%,"11,979,199"
"Jul. 24, 2023","2,382.64","2,415.82","2,374.88","2,401.40",1.22%,"9,416,813"
"Jul. 17, 2023","2,274.28","2,389.15","2,271.14","2,372.50",4.50%,"11,219,454"
"Jul. 10, 2023","2,318.28","2,322.60","2,205.16","2,270.30",-4.08%,"14,132,949"
"Jul. 03, 2023","2,334.82","2,385.37","2,280.68","2,366.86",1.32%,"10,228,093"
"Jun. 26, 2023","2,340.56","2,367.38","2,293.87","2,335.98",-0.11%,"9,271,881"
"Jun. 20, 2023","2,350.64","2,410.85","2,312.05","2,338.46",-1.01%,"12,437,390"
"Jun. 12, 2023","2,314.02","2,374.75","2,301.51","2,362.23",2.04%,"14,094,228"
"Jun. 05, 2023","2,272.28","2,398.97","2,255.11","2,315.05",2.42%,"11,978,727"
30-May-23,"2,230.37","2,269.49","2,152.91","2,260.33",0.93%,"15,494,214"
22-May-23,"2,339.82","2,354.60","2,233.62","2,239.51",-4.09%,"8,374,050"
15-May-23,"2,346.31","2,374.50","2,260.25","2,335.00",-0.05%,"10,418,549"
08-May-23,"2,444.35","2,470.84","2,304.82","2,336.21",-3.94%,"11,191,869"
01-May-23,"2,578.94","2,604.00","2,394.63","2,431.96",-5.66%,"11,914,291"
"Apr. 24, 2023","2,613.32","2,626.19","2,513.63","2,577.96",-1.33%,"8,451,840"
"Apr. 17, 2023","2,672.85","2,699.70","2,593.12","2,612.65",-2.11%,"8,480,424"
"Apr. 10, 2023","2,547.69","2,725.60","2,545.78","2,668.92",5.36%,"8,813,601"
"Apr. 03, 2023","2,610.00","2,625.92","2,522.25","2,533.19",-2.24%,"11,595,367"
"Mar. 27, 2023","2,448.82","2,604.28","2,448.82","2,591.19",5.81%,"9,681,959"
"Mar. 20, 2023","2,470.05","2,570.65","2,401.74","2,448.82",-0.23%,"11,127,634"
"Mar. 13, 2023","2,582.38","2,644.28","2,439.19","2,454.40",-6.30%,"16,722,147"
"Mar. 06, 2023","2,856.87","2,867.83","2,610.88","2,619.49",-8.85%,"11,527,864"
"Feb. 27, 2023","2,778.76","2,879.89","2,767.60","2,873.83",3.61%,"12,103,910"
"Feb. 21, 2023","2,716.74","2,809.47","2,691.08","2,773.80",1.28%,"13,098,524"
"Feb. 13, 2023","2,855.98","2,857.04","2,727.70","2,738.85",-4.47%,"10,550,161"
"Feb. 06, 2023","2,752.20","2,880.66","2,685.67","2,866.91",4.03%,"12,034,028"
"Jan. 30, 2023","2,791.74","2,856.57","2,737.23","2,755.84",-1.46%,"12,008,639"
"Jan. 23, 2023","2,759.76","2,815.14","2,645.30","2,796.80",1.49%,"9,034,770"
"Jan. 17, 2023","2,767.54","2,801.83","2,685.45","2,755.75",0.01%,"9,450,871"
"Jan. 09, 2023","2,698.85","2,761.55","2,675.58","2,755.43",2.33%,"10,586,922"
"Jan. 03, 2023","2,616.16","2,696.15","2,567.33","2,692.69",2.79%,"12,924,423"
"Dec. 27, 2022","2,685.54","2,702.05","2,599.03","2,619.55",-2.34%,"7,770,406"
"Dec. 19, 2022","2,711.01","2,736.33","2,614.65","2,682.33",-1.03%,"7,462,932"
"Dec. 12, 2022","2,819.52","2,873.97","2,675.01","2,710.27",-3.94%,"13,805,490"
"Dec. 05, 2022","3,008.52","3,025.98","2,819.84","2,821.35",-5.89%,"8,163,954"
"Nov. 28, 2022","2,983.68","3,031.04","2,920.94","2,998.08",-0.32%,"10,626,783"
"Nov. 21, 2022","2,903.29","3,015.64","2,846.90","3,007.84",3.42%,"7,401,895"
"Nov. 14, 2022","2,934.49","3,050.13","2,872.20","2,908.34",-1.03%,"10,376,327"
"Nov. 07, 2022","2,927.26","3,087.29","2,910.96","2,938.59",0.40%,"11,944,273"
"Oct. 31, 2022","2,960.35","3,042.45","2,838.86","2,926.97",-1.02%,"13,750,747"
"Oct. 24, 2022","2,895.73","3,011.07","2,848.58","2,956.99",2.04%,"10,259,178"
"Oct. 17, 2022","2,689.66","2,902.46","2,689.66","2,897.99",8.49%,"9,994,134"
"Oct. 10, 2022","2,802.32","2,894.06","2,667.16","2,671.31",-4.47%,"10,705,935"
"Oct. 03, 2022","2,644.02","2,846.03","2,644.02","2,796.21",6.57%,"10,769,096"
"Sep. 26, 2022","2,617.43","2,707.60","2,571.93","2,623.86",-0.02%,"11,902,510"
"Sep. 19, 2022","2,748.06","2,861.84","2,586.83","2,624.41",-5.07%,"11,524,107"
"Sep. 12, 2022","2,892.52","2,892.52","2,713.88","2,764.67",-4.17%,"18,037,411"
