Year,Month,UOM,Crop,Value,Indicator
1987,8,CAD/tonne,"Barley, #1CW",49.45,Farmer's net cash return at Wpg elevator
1987,8,CAD/tonne,"Canola Meal, 34%, Altona",187.43,Farmer's net cash return at Wpg elevator
1987,8,CAD/tonne,"Canola, #1CR",206.095,Farmer's net cash return at Wpg elevator
1987,8,CAD/tonne,"Flaxseed, #1CW",142.55,Farmer's net cash return at Wpg elevator
1987,8,CAD/tonne,"Oats, #2CW",51.25,Farmer's net cash return at Wpg elevator
1987,8,CAD/tonne,"Soymeal, 46%, Wpg",288,Farmer's net cash return at Wpg elevator
1987,8,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",66.0975,Farmer's net cash return at Wpg elevator
1987,9,CAD/tonne,"Barley, #1CW",47.93,Farmer's net cash return at Wpg elevator
1987,9,CAD/tonne,"Canola Meal, 34%, Altona",194.042,Farmer's net cash return at Wpg elevator
1987,9,CAD/tonne,"Canola, #1CR",202.58,Farmer's net cash return at Wpg elevator
1987,9,CAD/tonne,"Flaxseed, #1CW",155.71,Farmer's net cash return at Wpg elevator
1987,9,CAD/tonne,"Oats, #2CW",57.346,Farmer's net cash return at Wpg elevator
1987,9,CAD/tonne,"Soymeal, 46%, Wpg",295.6,Farmer's net cash return at Wpg elevator
1987,9,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",70.752,Farmer's net cash return at Wpg elevator
1987,10,CAD/tonne,"Barley, #1CW",45.875,Farmer's net cash return at Wpg elevator
1987,10,CAD/tonne,"Canola Meal, 34%, Altona",201.205,Farmer's net cash return at Wpg elevator
1987,10,CAD/tonne,"Canola, #1CR",214.795,Farmer's net cash return at Wpg elevator
1987,10,CAD/tonne,"Flaxseed, #1CW",164.025,Farmer's net cash return at Wpg elevator
1987,10,CAD/tonne,"Oats, #2CW",66.585,Farmer's net cash return at Wpg elevator
1987,10,CAD/tonne,"Soymeal, 46%, Wpg",303,Farmer's net cash return at Wpg elevator
1987,10,CAD/tonne,"Wheat, Special Purpose (Low Vomi)",72.725,Farmer's net cash return at Wpg elevator
1987,11,CAD/tonne,"Barley, #1CW",48.875,Farmer's net cash return at Wpg elevator
1987,11,CAD/tonne,"Canola Meal, 34%, Altona",221.8775,Farmer's net cash return at Wpg elevator
